Time,Position y (m),Velocity y (m/s),Moving Average (Velocity) w/ 25 points,Acceleration (m/s^2),Moving Acceleration (m/s^2)
1.141666667,2.841606587,3.06275367,3.086284463,1.087036794,-0.489254012
1.145833333,2.853836007,2.935060938,3.069005069,-4.147054576,-0.623156509
1.15,2.865157246,2.717097383,3.057836367,-2.680488436,-0.78778842
1.154166667,2.878518068,3.206597146,3.062531846,1.126914859,-0.612956983
1.158333333,2.890448485,2.86330022,3.059178646,-0.80476789,-0.625493339
1.1625,2.903854251,3.217383698,3.05312528,-1.452807829,-0.762889222
1.166666667,2.915613585,2.822240106,3.051176726,-0.467653042,-0.627969854
1.170833333,2.929575869,3.350948331,3.053153566,0.474441667,-0.633240556
1.175,2.941919754,2.962532237,3.054067657,0.219381884,-0.496497215
1.179166667,2.953685141,2.823692956,3.046789244,-1.746819347,-0.58845824
1.183333333,2.967619696,3.344293253,3.057269036,2.515150179,-0.419015763
1.1875,2.979107042,2.756962935,3.041898682,-3.688885004,-0.58532728
1.191666667,2.990875331,2.824389492,3.032609375,-2.229433686,-0.622750913
1.195833333,3.004209186,3.200125031,3.037673087,1.215291025,-0.527846588
1.2,3.016263635,2.893067771,3.026292071,-2.731443839,-0.657768918
1.204166667,3.027944274,2.803353545,3.006270828,-4.805098498,-0.918016271
1.208333333,3.039789845,2.842936831,3.001909458,-1.046728651,-0.875296129
1.2125,3.052572945,3.067944114,2.998159675,-0.899947947,-0.862976614
1.216666667,3.064276528,2.808859988,2.991276562,-1.651947194,-0.96362905
1.220833333,3.075747012,2.752916066,2.986249171,-1.20657373,-0.887282171
1.225,3.089726059,3.354971263,2.993579299,1.759230735,-0.904923872
1.229166667,3.101435671,2.810306839,2.986325127,-1.741001316,-0.964514603
1.233333333,3.113529554,2.902531928,2.970795714,-3.727059226,-1.140902657
1.2375,3.125520399,2.877802964,2.969989283,-0.193543487,-1.086379204
1.241666667,3.138193159,3.041462238,2.969741238,-0.059530755,-1.075333492
1.245833333,3.149690516,2.759365851,2.957605725,-2.91252306,-1.235315887
